naics,name,pci,rca,alm_emp,oked,oked_name
445291,Baked Goods Stores ,0.05,9.24,2041,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
541519,Other Computer Related Services,0.05,5.26,11114,6209,Другие виды деятельности в области информационных технологий и компьютерных систем
311812,Commercial Bakeries ,0.04,2.01,3084,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
488390,Other Support Activities for Water Transportation,0.03,4.42,417,5229,Прочие сопроводительные услуги при перевозках
311352,Confectionery Manufacturing from Purchased Chocolate ,0.02,6.03,1811,1082,"Производство какао, шоколада и сахаристых кондитерских изделий"
325314,Fertilizer (Mixing Only) Manufacturing ,0.02,1.31,87,2015,Производство удобрений и азотосодержащих соединений
561440,Collection Agencies,0.01,16.01,17985,8411,Государственное управление общего характера
523910,Miscellaneous Intermediation ,0.01,6.12,5104,6820,Аренда и управление собственной или арендуемой недвижимостью
311423,Dried and Dehydrated Food Manufacturing ,0.01,1.59,208,1089,"Производство прочих продуктов питания, не включенных в другие категории"
524113,Direct Life Insurance Carriers ,0.01,1.88,7217,6511,Страхование жизни
541490,Other Specialized Design Services,0.0,1.06,163,7410,Специализированные работы по дизайну
423210,Furniture Merchant Wholesalers ,-0.01,1.23,1115,4646,Оптовая торговля фармацевтическими товарами
611512,Flight Training ,-0.01,3.76,1020,8559,"Прочие виды образования, не включенные в другие категории"
315110,Hosiery and Sock Mills,-0.03,3.33,148,1439,Производство прочих вязаных и трикотажных изделий
311221,Wet Corn Milling ,-0.03,20.96,821,1042,Производство маргарина и аналогичных пищевых жиров
314999,All Other Miscellaneous Textile Product Mills ,-0.03,3.92,1128,1413,Производство прочей верхней одежды
488119,Other Airport Operations ,-0.03,2.2,4140,5223,Услуги в области воздушного транспорта
551112,Offices of Other Holding Companies ,-0.05,1.45,1748,6420,Деятельность холдинговых компаний
314910,Textile Bag and Canvas Mills ,-0.07,1.08,197,1392,"Производство готовых текстильных изделий, кроме одежды"
711130,Musical Groups and Artists ,-0.08,1.2,642,9001,Продюсерская деятельность
424130,Industrial and Personal Service Paper Merchant Wholesalers ,-0.08,1.11,950,4646,Оптовая торговля фармацевтическими товарами
611692,Automobile Driving Schools ,-0.09,3.18,649,8559,"Прочие виды образования, не включенные в другие категории"
311421,Fruit and Vegetable Canning ,-0.09,1.59,630,1089,"Производство прочих продуктов питания, не включенных в другие категории"
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",-0.12,1.11,582,4646,Оптовая торговля фармацевтическими товарами
611310,"Colleges, Universities, and Professional Schools ",-0.12,1.6,38408,8542,Высшее образование
424590,Other Farm Product Raw Material Merchant Wholesalers ,-0.12,1.66,190,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
812191,Diet and Weight Reducing Centers ,-0.14,8.9,1525,9609,"Предоставление прочих услуг, не включенных в другие группировки"
236116,New Multifamily Housing Construction (except For-Sale Builders) ,-0.15,1.56,1202,4120,Строительство жилых и нежилых зданий
541850,Outdoor Advertising,-0.16,3.25,933,7311,Деятельность рекламных агентств
541890,Other Services Related to Advertising ,-0.17,3.25,3977,7311,Деятельность рекламных агентств
813940,Political Organizations ,-0.17,1.52,180,9492,Деятельность политических организаций
611691,Exam Preparation and Tutoring ,-0.19,4.56,6846,8559,"Прочие виды образования, не включенные в другие категории"
424460,Fish and Seafood Merchant Wholesalers ,-0.2,1.36,368,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
561311,Employment Placement Agencies ,-0.2,1.03,2397,7810,Деятельность агентств по трудоустройству
561510,Travel Agencies,-0.22,5.31,5545,7911,Деятельность туристских агентств
311612,Meat Processed from Carcasses ,-0.23,1.23,1690,1089,"Производство прочих продуктов питания, не включенных в другие категории"
424450,Confectionery Merchant Wholesalers ,-0.24,1.36,690,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
711110,Theater Companies and Dinner Theaters ,-0.25,1.2,1123,9001,Продюсерская деятельность
339910,Jewelry and Silverware Manufacturing ,-0.25,1.17,269,3212,Производство ювелирных изделий
611430,Professional and Management Development Training ,-0.26,3.18,2607,8559,"Прочие виды образования, не включенные в другие категории"
813920,Professional Organizations ,-0.27,5.69,6909,9412,Деятельность профессиональных организаций
541614,"Process, Physical Distribution, and Logistics Consulting Services ",-0.27,2.61,3362,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
541618,Other Management Consulting Services ,-0.28,2.16,1520,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
561330,Professional Employer Organizations,-0.28,8.72,18832,7830,Деятельность прочих организаций по работе с персоналом
332313,Plate Work Manufacturing ,-0.29,1.17,552,2511,Производство строительных металлических конструкций и изделий
452210,Department Stores ,-0.29,1.84,4480,4719,Прочая розничная торговля в неспециализированных магазинах
488490,Other Support Activities for Road Transportation ,-0.3,4.75,2240,5229,Прочие сопроводительные услуги при перевозках
561520,Tour Operators,-0.31,4.15,1480,7912,Деятельность туристских операторов
327390,Other Concrete Product Manufacturing ,-0.32,2.54,1776,2361,Производство строительных изделий из бетона
451140,Musical Instrument and Supplies Stores ,-0.32,1.95,710,4754,Розничная торговля электрическими бытовыми приборами в специализированных магазинах
811213,Communication Equipment Repair and Maintenance ,-0.34,1.2,167,9512,Ремонт коммуникационного оборудования
486910,Pipeline Transportation of Refined Petroleum Products,-0.35,2.03,184,4950,Транспортирование по трубопроводу
487110,"Scenic and Sightseeing Transportation, Land",-0.36,31.01,3069,4910,"Пассажирский железнодорожный транспорт, междугородний"
454210,Vending Machine Operators ,-0.37,6.02,3012,4799,"Другие виды розничной торговли вне магазинов, торговых палаток или рынков"
541511,Custom Computer Programming Services ,-0.37,1.95,26089,6201,Деятельность в области компьютерного программирования
424810,Beer and Ale Merchant Wholesalers ,-0.38,1.36,1692,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
561622,Locksmiths ,-0.41,1.9,396,8020,Деятельность в области систем охраны
561621,Security Systems Services (except Locksmiths) ,-0.41,1.9,3304,8020,Деятельность в области систем охраны
541410,Interior Design Services,-0.43,1.06,821,7410,Специализированные работы по дизайну
445220,Fish and Seafood Markets ,-0.44,9.24,1302,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
221115,Wind Electric Power Generation ,-0.45,1.82,173,3512,Передача электроэнергии
424480,Fresh Fruit and Vegetable Merchant Wholesalers ,-0.46,1.36,1997,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
339999,All Other Miscellaneous Manufacturing ,-0.46,4.44,2129,1413,Производство прочей верхней одежды
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities ",-0.48,2.32,1230,9001,Продюсерская деятельность
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,-0.48,1.41,1286,4646,Оптовая торговля фармацевтическими товарами
811212,Computer and Office Machine Repair and Maintenance ,-0.49,5.55,2007,9511,Ремонт компьютеров и периферийного оборудования
488210,Support Activities for Rail Transportation,-0.5,1.63,892,5224,Транспортная обработка грузов
611699,All Other Miscellaneous Schools and Instruction ,-0.52,3.66,2753,8559,"Прочие виды образования, не включенные в другие категории"
213114,Support Activities for Metal Mining ,-0.52,20.38,505,990,Техническая поддержка для прочих областей горнодобывающей промышленности и подземной разработки
515120,Television Broadcasting,-0.52,1.71,3317,6120,Беспроводная телекоммуникационная связь
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities ",-0.53,2.46,4898,9001,Продюсерская деятельность
445292,Confectionery and Nut Stores ,-0.53,9.24,2613,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
611710,Educational Support Services,-0.54,2.77,5187,8560,Вспомогательные образовательные услуги
113110,Timber Tract Operations,-0.54,21.07,279,210,Лесоводство и прочая лесохозяйственная деятельность
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,-0.55,52.42,54359,4690,Неспециализированная оптовая торговля
713920,Skiing Facilities,-0.55,1.3,614,9329,Прочие виды деятельности по организации отдыха и развлечений
517911,Telecommunications Resellers ,-0.55,2.37,1236,6190,Другие виды телекоммуникационных услуг
221112,Fossil Fuel Electric Power Generation ,-0.56,1.82,1239,3512,Передача электроэнергии
561612,Security Guards and Patrol Services ,-0.56,4.6,50832,8010,Деятельность частных охранных служб
487990,"Scenic and Sightseeing Transportation, Other",-0.56,1.78,60,5110,Воздушный пассажирский транспорт
311224,Soybean and Other Oilseed Processing ,-0.57,20.65,782,1042,Производство маргарина и аналогичных пищевых жиров
453210,Office Supplies and Stationery Stores ,-0.57,1.11,626,4762,Розничная торговля газетами и канцелярскими товарами в специализированных магазинах
812111,Barber Shops ,-0.58,1.08,432,9602,Предоставление услуг парикмахерскими и салонами красоты
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,-0.58,3.5,2758,2441,Производство благородных (драгоценных) металлов
811198,All Other Automotive Repair and Maintenance ,-0.59,2.04,582,7120,Технические испытания и анализы
221111,Hydroelectric Power Generation ,-0.59,1.82,58,3512,Передача электроэнергии
423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,-0.59,1.23,914,4646,Оптовая торговля фармацевтическими товарами
339950,Sign Manufacturing,-0.59,1.31,1266,1812,Прочие виды печатного производства
