id,label,color,size,value,x,y,title,cluster,eci,niche_strength,emp,emp_ln,wage
"Burlington-South Burlington, VT Metro Area, Chittenden County, Vermont, 15540","Burlington-South Burlington, VT Metro Area, Chittenden County, Vermont, 15540",#dbdb8d,11.008713437471862,1.1012137004845843,1275,-94,"Burlington-South Burlington, VT Metro Area, Chittenden County, Vermont, 15540  (cluster 8, strength 1.10)",8,0.7902,27.1918,88172,11.387,59.82
"Canton-Massillon, OH Metro Area, Carroll County, Ohio, 15940","Canton-Massillon, OH Metro Area, Carroll County, Ohio, 15940",#2ca02c,17.96515959258754,2.969836493477157,-1085,-734,"Canton-Massillon, OH Metro Area, Carroll County, Ohio, 15940  (cluster 2, strength 2.97)",2,1.1044,28.4081,132938,11.7976,49.16
"Champaign-Urbana, IL Metro Area, Champaign County, Illinois, 16580","Champaign-Urbana, IL Metro Area, Champaign County, Illinois, 16580",#ff7f0e,9.417787379925644,0.673863207602456,2074,-1616,"Champaign-Urbana, IL Metro Area, Champaign County, Illinois, 16580  (cluster 1, strength 0.67)",1,0.3333,18.6307,71067,11.1714,54.67
"Charleston, WV Metro Area, Boone County, West Virginia, 16620","Charleston, WV Metro Area, Boone County, West Virginia, 16620",#dbdb8d,8.119583721134507,0.325143057590293,2117,-230,"Charleston, WV Metro Area, Boone County, West Virginia, 16620  (cluster 8, strength 0.33)",8,0.5856,21.7148,74006,11.2119,56.31
"Charlotte-Concord-Gastonia, NC-SC Metro Area, Anson County, North Carolina, 16740","Charlotte-Concord-Gastonia, NC-SC Metro Area, Anson County, North Carolina, 16740",#f7b6d2,22.34178107287699,4.145473373575133,-735,383,"Charlotte-Concord-Gastonia, NC-SC Metro Area, Anson County, North Carolina, 16740  (cluster 6, strength 4.15)",6,3.3229,48.4441,1220136,14.0145,68.76
"Charlottesville, VA Metro Area, Albemarle County, Virginia, 16820","Charlottesville, VA Metro Area, Albemarle County, Virginia, 16820",#dbdb8d,13.76647296820585,1.841996019763003,1029,29,"Charlottesville, VA Metro Area, Albemarle County, Virginia, 16820  (cluster 8, strength 1.84)",8,0.862,25.8288,73600,11.2064,59.83
"Chicago-Naperville-Elgin, IL-IN Metro Area, Cook County, Illinois, 16980","Chicago-Naperville-Elgin, IL-IN Metro Area, Cook County, Illinois, 16980",#f7b6d2,37.99263874672165,8.349566775163824,-351,338,"Chicago-Naperville-Elgin, IL-IN Metro Area, Cook County, Illinois, 16980  (cluster 6, strength 8.35)",6,4.3791,64.9787,4282854,15.2701,77.44
"Cincinnati, OH-KY-IN Metro Area, Dearborn County, Indiana, 17140","Cincinnati, OH-KY-IN Metro Area, Dearborn County, Indiana, 17140",#f7b6d2,35.29588885403009,7.625172708981343,-665,175,"Cincinnati, OH-KY-IN Metro Area, Dearborn County, Indiana, 17140  (cluster 6, strength 7.63)",6,3.2922,46.0017,1010064,13.8255,63.82
"Cleveland, OH Metro Area, Ashtabula County, Ohio, 17410","Cleveland, OH Metro Area, Ashtabula County, Ohio, 17410",#f7b6d2,40.0,8.88877902636304,-548,-11,"Cleveland, OH Metro Area, Ashtabula County, Ohio, 17410  (cluster 6, strength 8.89)",6,3.9759,51.0021,949809,13.764,65.7
"Columbus, OH Metro Area, Delaware County, Ohio, 18140","Columbus, OH Metro Area, Delaware County, Ohio, 18140",#f7b6d2,20.49005225043299,3.64806670831753,-793,336,"Columbus, OH Metro Area, Delaware County, Ohio, 18140  (cluster 6, strength 3.65)",6,2.4952,39.0183,967778,13.7828,61.09
