fips,name,cbsa,msa_name,pay,emp,wages,cluster,cluster_size,center,center_pay,pay_vs_center,cat
23031,York,38860,"Portland-South Portland, ME",55506,61659,3422448039,14460,21,False,127028,0.437,red
24005,Baltimore,12580,"Baltimore-Columbia-Towson, MD",66422,313638,20832512886,12580,9,False,79122,0.839,red
24017,Charles,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",50438,29859,1505998245,47900,52,False,112038,0.45,red
24021,Frederick,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",64243,88630,5693878886,47900,52,False,112038,0.573,red
24031,Montgomery,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",87759,364740,32009087026,47900,52,False,112038,0.783,red
29113,Lincoln,41180,"St. Louis, MO-IL",51438,10062,517551582,41180,21,False,76954,0.668,red
29183,St. Charles,41180,"St. Louis, MO-IL",58470,143570,8394522663,41180,21,False,76954,0.76,red
33015,Rockingham,14460,"Boston-Cambridge-Newton, MA-NH",71716,140669,10088203130,14460,21,False,127028,0.565,red
33017,Strafford,14460,"Boston-Cambridge-Newton, MA-NH",65332,38328,2504071517,14460,21,False,127028,0.514,red
34001,Atlantic,12100,"Atlantic City-Hammonton, NJ",54200,105030,5692663077,37980,16,False,80203,0.676,red
34005,Burlington,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",68992,183809,12681241373,37980,16,False,80203,0.86,red
34015,Gloucester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",54470,103725,5649915013,37980,16,False,80203,0.679,red
34019,Hunterdon,35620,"New York-Newark-Jersey City, NY-NJ",72843,39616,2885773955,35620,36,False,116866,0.623,red
34021,Mercer,45940,"Trenton-Princeton, NJ",92805,187294,17381820304,35620,36,False,116866,0.794,red
34025,Monmouth,35620,"New York-Newark-Jersey City, NY-NJ",67516,239227,16151582447,35620,36,False,116866,0.578,red
34029,Ocean,35620,"New York-Newark-Jersey City, NY-NJ",53210,159471,8485467640,35620,36,False,116866,0.455,red
34035,Somerset,35620,"New York-Newark-Jersey City, NY-NJ",104450,175080,18287083738,35620,36,False,116866,0.894,red
6059,Orange,31080,"Los Angeles-Long Beach-Anaheim, CA",77059,1493591,115094380179,31080,6,False,78602,0.98,brown
6069,San Benito,41940,"San Jose-Sunnyvale-Santa Clara, CA",53123,14442,767213875,41860,16,False,174600,0.304,red
6073,San Diego,41740,"San Diego-Chula Vista-Carlsbad, CA",78230,1288281,100782534632,41740,2,True,78230,1.0,center
6097,Sonoma,42220,"Santa Rosa-Petaluma, CA",69003,180721,12470271838,41860,16,False,174600,0.395,red
6113,Yolo,40900,"Sacramento-Roseville-Folsom, CA",62997,74000,4661818420,41860,16,False,174600,0.361,red
8019,Clear Creek,19740,"Denver-Aurora-Centennial, CO",66805,2769,185005202,19740,18,False,97862,0.683,red
8031,Denver,19740,"Denver-Aurora-Centennial, CO",97862,495812,48521100633,19740,18,True,97862,1.0,center
4009,Graham,40940,"Safford, AZ",53468,7480,399932466,38060,7,False,70067,0.763,red
4013,Maricopa,38060,"Phoenix-Mesa-Chandler, AZ",70067,2020817,141591884260,38060,7,True,70067,1.0,center
12086,Miami-Dade,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",73564,1098806,80832168294,33100,10,True,73564,1.0,center
12093,Okeechobee,36380,"Okeechobee, FL",44445,10120,449790843,33100,10,False,73564,0.604,red
12097,Osceola,36740,"Orlando-Kissimmee-Sanford, FL",49128,97209,4775659407,36740,12,False,64662,0.76,red
13021,Bibb,31420,"Macon-Bibb County, GA",53248,70466,3752150598,12060,54,False,91878,0.58,red
27013,Blue Earth,31860,"Mankato, MN",53567,35417,1897175785,33460,27,False,88260,0.607,red
27171,Wright,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",53352,40759,2174552857,33460,27,False,88260,0.604,red
36103,Suffolk,35620,"New York-Newark-Jersey City, NY-NJ",71193,559257,39815027475,35620,36,False,116866,0.609,red
36119,Westchester,35620,"New York-Newark-Jersey City, NY-NJ",90023,362328,32617735534,35620,36,False,116866,0.77,red
37023,Burke,25860,"Hickory-Lenoir-Morganton, NC",45026,23068,1038678997,16740,33,False,85620,0.526,red
