fips,county,cbsa,msa_name,cluster_core,county_cat,is_center,naics,industry,estabs,emp,wages,avg_pay,weekly_wage,lq_emp,lq_pay,disclosure_code
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,236117,NAICS 236117 New housing for-sale builders,44,616,91135842,147848,2843,0.79,1.24,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,236118,NAICS 236118 Residential remodelers,1334,6638,440674365,66384,1277,1.02,1.14,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,236210,NAICS 236210 Industrial building construction,65,2805,283014883,100912,1941,1.25,1.08,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,236220,NAICS 236220 Commercial and institutional building construction,810,15789,1533382614,97116,1868,1.5,1.04,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,237110,NAICS 237110 Water and sewer line and related structures construction,131,4202,328168130,78106,1502,1.41,1.0,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,237120,NAICS 237120 Oil and gas pipeline and related structures construction,24,1290,90829346,70401,1354,0.64,0.76,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,237130,NAICS 237130 Power and communication line and related structures construction,151,4000,372130815,93044,1789,1.15,1.01,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,237210,NAICS 237210 Land subdivision,78,437,49638925,113590,2184,0.81,1.03,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,237310,"NAICS 237310 Highway, street, and bridge construction",125,7014,610444163,87034,1674,1.33,1.02,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,237990,NAICS 237990 Other heavy and civil engineering construction,61,1402,141241692,100731,1937,0.75,1.11,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238111,NAICS 238111 Residential poured foundation contractors,165,2938,198516374,67572,1299,1.65,1.15,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238112,NAICS 238112 Nonresidential poured foundation contractors,95,4481,338393152,75512,1452,2.32,1.04,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238121,NAICS 238121 Residential structural steel contractors,38,816,69515189,85155,1638,3.84,1.28,
